Trace Path1,
X(in), Y(in)
500,500
500.0001828,499.9998765
500.0006206,499.9997064
500.0007227,499.9993556
500.001184,500.0003761
500.001184,500.0003759
500.0024791,499.9931896
500.0033762,499.9913497
500.003457,499.9919905
500.0037984,499.9915689
500.0037983,499.9915692
500.0048226,499.9944461
500.0051154,499.9944954
500.0052763,499.9945534
500.0056755,499.9970183
500.0056793,499.9969762
500.0058585,499.9967178
500.0060535,499.9966224
500.0073393,499.9917439
500.0077231,499.9907715
500.0077215,499.9907713
500.0088389,499.9932687
500.0098671,499.9916622
500.0110012,499.9887987
500.011759,499.9879755
500.0117595,499.9879785
500.0118549,499.9889039
500.0120363,499.9912092
500.0123419,499.9911442
500.0097241,500.0003046
500.0097229,500.0003071
500.0104668,500.0000437
500.0104391,500.0029543
500.0108281,500.0042141
500.0108049,500.0059634
500.0108034,500.0059668
500.0115609,500.0063074
500.0122508,500.0059701
500.0135892,500.0038886
500.0147972,500.0029941
500.0148125,500.0029879
500.016296,500.0019844
500.0170127,500.0024324
500.0176935,500.0016237
500.0179084,500.0025393
500.0180142,500.0024005
500.0138217,500.0089594
500.014396,500.0113342
500.0149247,500.0115043
500.0142311,500.014476
500.0140281,500.0148853
500.0138817,500.0198882
500.0177575,500.0159717
500.0178311,500.01694
500.0187994,500.0173681
500.0187395,500.0174853
500.0213611,500.0160597
500.0081869,500.031003
500.0211789,500.0201768
500.0185334,500.0263622
500.0187311,500.0263934
500.0215354,500.0241847
500.0311073,500.0181563
500.0323988,500.0187093
500.0357936,500.0173374
500.0357827,500.0173384
500.0313466,500.0188631
500.0315448,500.0213664
500.0338949,500.0223659
500.0360417,500.0222788
500.0360081,500.0223012
500.0342576,500.0243802
500.0340991,500.0257768
500.0348379,500.0260551
500.0331825,500.0294601
500.0335819,500.0293446
500.0341389,500.0298151
500.0325414,500.0312942
500.0329546,500.0314089
500.0320853,500.0325422
500.0321284,500.032543
500.033861,500.0328662
500.0361917,500.0336776
500.0367201,500.0338022
500.0388275,500.0334644
500.0392265,500.0334504
500.0378322,500.0342323
500.0383971,500.0345807
500.0383845,500.0348029
500.0394881,500.0351135
500.0395019,500.0351144
500.0393064,500.0353469
500.0387077,500.035793
500.0372874,500.0365481
500.0377298,500.0369699
500.0377075,500.0369787
500.0364768,500.037912
500.0376462,500.0386724
500.0405143,500.0393616
500.0401656,500.0399586
500.0401756,500.0399522
500.0402321,500.040123
500.038853,500.0409831
500.0375197,500.0418227
500.0354574,500.042741
500.035859,500.0428215
500.0358796,500.0429964
500.0364031,500.0434655
500.0345689,500.0437029
500.0310695,500.0444572
500.0309349,500.0444965
500.0294847,500.0446159
500.0276892,500.0452846
500.0243261,500.0456285
500.0244878,500.0460028
500.0244932,500.0460099
500.0241179,500.0464292
500.0238478,500.0469515
500.0198051,500.0478471
500.0212911,500.0486694
500.0212936,500.048666
500.0172539,500.0483941
500.015453,500.0490612
499.9950314,500.0481855
499.9905596,500.047705
499.990885,500.0476178
499.9966332,500.0340697
500.0011843,499.9946868
500.0073932,499.9322551
500.014724,499.845422
500.0143815,499.840819
500.0437917,499.7257864
500.0551368,499.5819016
500.07623,499.4127611
500.1004578,499.2270406
500.1015206,499.2176311
500.1225722,498.9971448
500.1548008,498.7498646
500.2191307,498.4841261
500.2597426,498.2001352
500.2618888,498.1854817
500.3144625,497.8619869
500.3875072,497.5168419
500.4575607,497.1443304
500.5330317,496.7668774
500.5374664,496.746829
500.6281253,496.3241879
500.7326256,495.8778752
500.8484332,495.4078033
500.9731847,494.9395454
500.9800317,494.9143272
501.132636,494.3998605
501.3027555,493.8632953
501.4900083,493.3043353
501.6904739,492.7574523
501.7019118,492.7269398
501.9347076,492.1282663
502.1980921,491.517972
502.4821722,490.8848024
502.7760677,490.2710915
502.7935083,490.2356067
503.1370505,489.576589
503.5101534,488.9105875
503.9106118,488.2381029
504.3090521,487.6008285
504.3345066,487.5618312
504.8074411,486.85716
505.314337,486.1446076
505.8640509,485.4303051
506.4157232,484.7553005
506.4511353,484.7136275
507.0856838,484.0057517
507.7578451,483.2886219
508.4768154,482.5831146
509.1930672,481.930196
509.2416015,481.8887369
510.0523997,481.2071588
510.9115266,480.5431599
511.81719,479.8980313
512.711376,479.3161479
512.7722112,479.2783716
513.7753871,478.6869052
514.8273224,478.1286838
515.9263269,477.6071441
516.9977584,477.1589401
517.0736957,477.1287056
518.2641402,476.6934908
519.500237,476.3046054
520.7658089,475.9766987
521.9586918,475.7236384
522.0448467,475.7075198
523.333469,475.4965256
524.6325228,475.3452443
525.9367822,475.2541453
527.1546745,475.2231598
527.2436451,475.2227749
528.551522,475.2471388
529.8579532,475.3276545
531.159491,475.4635639
532.3626888,475.6394498
532.4529702,475.6547444
533.7377242,475.8927542
535.0111834,476.185721
536.2741285,476.5261627
537.4335887,476.8823475
537.5231461,476.9092344
538.7550623,477.3466776
539.9674967,477.8289038
541.1640267,478.3574587
542.2556888,478.881445
542.3433671,478.9261205
543.5069913,479.5207126
544.6332723,480.1788331
545.7464307,480.8650264
546.7530869,481.5292277
546.83694,481.5862702
547.8992483,482.346347
548.94461,483.1337148
549.9626265,483.9534332
550.8855238,484.7251283
550.9647552,484.7904761
551.9354734,485.664023
552.8847473,486.5641693
553.8077367,487.4904137
554.6336226,488.3630954
554.7064073,488.4418459
555.5840144,489.4098685
556.4326315,490.4059021
557.254716,491.4224357
557.9966499,492.3627086
558.0629641,492.4501595
558.842502,493.5012826
559.5969007,494.5689106
560.3298461,495.6515701
560.9750414,496.6553877
561.0360022,496.7499996
561.7237395,497.8606324
562.3994577,498.9798125
563.0535114,500.1150207
563.6315837,501.1591468
563.6867798,501.26022
564.3032824,502.4128944
564.9034768,503.5749189
565.4846815,504.7481521
565.9997457,505.8227564
566.0502853,505.9290847
566.6020683,507.1158569
567.1333073,508.311339
567.6521564,509.5109419
568.1174236,510.6048464
568.1642077,510.7157802
568.662279,511.9224347
569.1384794,513.1256893
569.6097351,514.3222087
570.0265816,515.3996292
570.0704648,515.5137599
570.5239342,516.6962162
570.9626893,517.8771292
571.3982665,519.0500426
571.7886628,520.1031672
571.8310444,520.2155219
572.2545663,521.374614
572.679957,522.5224648
573.0841347,523.6674792
573.4594573,524.6907365
573.5002068,524.8014269
573.9155915,525.9257638
574.3360671,527.0379403
574.7534059,528.14358
575.1372537,529.1270327
575.1789934,529.2349471
575.599605,530.3203882
576.0198224,531.3962998
576.453338,532.4580575
576.850385,533.4022378
576.8954859,533.5069396
577.3427252,534.5428657
577.7947489,535.567902
578.2551208,536.5802372
578.6798534,537.4758899
578.7276831,537.5763147
579.2040533,538.5613694
579.6942763,539.5298537
580.1955693,540.4821618
580.660767,541.3190661
580.7138886,541.4149192
581.2401082,542.3329284
581.784722,543.2281531
582.3357339,544.1121246
582.8425249,544.8859653
582.9036231,544.9756673
583.4835641,545.8174744
584.0834588,546.6327301
584.6867073,547.438211
585.2388009,548.1377197
585.3071796,548.2203925
585.9420451,548.9787001
586.5918281,549.7130082
587.2505281,550.4264231
587.8501724,551.0388322
587.9249668,551.1133278
588.6139831,551.7716473
589.3285474,552.3868429
590.0387953,552.9952927
590.6847407,553.5081186
590.7667899,553.5693132
591.5059618,554.1141561
592.2575315,554.625692
593.0149369,555.1104097
593.6940973,555.5158273
593.7811026,555.5662735
594.5582324,555.9873788
595.3414253,556.3735837
596.1046002,556.7285237
596.7575092,556.9894499
596.8406595,557.0191265
597.5406282,557.2632171
598.199242,557.4707668
598.8186887,557.6353002
599.3311022,557.7468254
599.3958044,557.7596575
599.9275711,557.8583515
600.4134646,557.9237318
600.851391,557.9656725
601.1976516,557.9856297
601.2409086,557.9876412
601.5813561,557.9929998
601.8700789,557.9894729
602.1084543,557.973015
602.2786703,557.9540725
602.2982789,557.9499801
602.4368741,557.9228982
602.5234725,557.9041351
602.5613752,557.8950026
602.5504201,557.8894458
602.5467865,557.8914437
602.4891887,557.915176
602.3817554,557.9529068
602.232399,558.0184461
602.0694887,558.1084765
602.0440895,558.1210324
601.8096315,558.2425413
601.5402801,558.4028885
601.2421649,558.6073869
600.9488408,558.8158943
600.9055928,558.8480165
600.5443761,559.138087
600.1574715,559.4764152
599.7488141,559.8665792
599.3746079,560.2482159
599.3206796,560.3071157
598.8834979,560.8059251
598.4386992,561.3653085
597.9949968,561.9887921
597.6092045,562.5834946
597.5535594,562.6740783
597.1196964,563.4226432
596.6978015,564.2362808
596.29111,565.1133255
595.9548543,565.930302
595.9070177,566.0551623
595.5558006,567.0623659
595.2383849,568.1334959
594.9535943,569.2662913
594.7498201,570.3017369
594.7215255,570.4616766
594.544123,571.7168109
594.4204291,573.0286274
594.3623092,574.3957556
594.3654381,575.6229719
594.370196,575.8141313
594.4491095,577.2817365
594.6101635,578.7915128
594.8767562,580.3346412
595.1529215,581.7053947
595.2028534,581.9208743
595.6154813,583.5028231
596.1069055,585.0548568
596.6632602,586.5873917
597.2026667,587.8762428
597.2942192,588.0790247
597.9916099,589.531234
598.7453398,590.9445576
599.5609815,592.3167777
600.2983076,593.474585
600.418325,593.6608906
601.345267,594.9489559
602.3181235,596.1899706
603.3421756,597.3809934
604.2544613,598.3699661
604.4048539,598.5299115
605.5070449,599.6289979
606.6428932,600.6805764
607.8123437,601.6870016
608.8418639,602.5106027
609.0138302,602.6457177
610.2351518,603.5778061
611.4839552,604.4513461
612.7578802,605.2774258
613.8649449,605.9499431
614.0531043,606.0586665
615.3651518,606.8011411
616.6968208,607.4903539
618.0390225,608.140214
619.1939549,608.6697235
619.390989,608.7572012
620.7518022,609.3387757
622.1210065,609.8745634
623.4969161,610.3788779
624.6760497,610.7840635
624.8776071,610.8508731
626.2610037,611.2944575
627.6459224,611.6991361
629.0397601,612.0619519
630.2301438,612.346034
630.4356482,612.3950958
631.8249586,612.7108044
633.2112796,613.0012639
634.5997209,613.259376
635.7768016,613.4690513
635.9825397,613.5049971
637.3635494,613.7301245
638.7401485,613.9335401
640.1151961,614.1170524
641.2776025,614.2648201
641.4831521,614.2886713
642.846318,614.4484322
644.2074106,614.5948612
645.5618702,614.7238969
646.7075245,614.8210159
646.9116592,614.8391854
648.2538358,614.9525187
649.5893501,615.0608533
650.9176597,615.1623163
652.0370934,615.243393
652.2414669,615.2585841
653.5577022,615.3496475
654.8667792,615.4395048
656.1394921,615.5323796
657.1746502,615.6080404
657.3628526,615.6225597
658.5300013,615.7096807
659.6448884,615.7943046
660.7081098,615.8792477
661.5627295,615.9504719
661.7188079,615.9635272
662.6761355,616.0451029
663.5816536,616.1254153
664.4343864,616.2069766
665.1110581,616.2857255
665.2348453,616.2983425
665.9823812,616.3787117
666.6804148,616.4604815
667.3225709,616.5372263
667.8223377,616.5985874
667.9130717,616.6102743
668.4492724,616.6908664
668.9351117,616.7652528
669.3679384,616.8317329
669.6903078,616.8845216
669.7480941,616.8957769
670.076206,616.952874
670.3525809,617.0049592
670.5767038,617.0486476
670.7239293,617.081019
670.7486438,617.0851347
670.8690747,617.1120339
670.9378054,617.1291451
670.9557544,617.1328652
670.9316678,617.1278633
670.927131,617.1214376
670.8479896,617.0946675
670.7143668,617.0553315
670.5328035,616.9969337
670.3435656,616.9326424
670.3026499,616.9182509
670.0241523,616.8184457
669.6974069,616.6966738
669.3259056,616.5481665
668.9816359,616.4011889
668.9101673,616.3690669
668.4519721,616.1595154
667.9492348,615.9207337
667.4112577,615.6451824
666.9287176,615.3913696
666.8277826,615.3369673
666.2114249,614.9833421
665.550757,614.5953003
664.8644131,614.1586892
664.2644954,613.7698556
664.1413433,613.6844268
663.3898239,613.1555032
662.6027701,612.5816801
661.7876333,611.9565096
661.0953599,611.3973345
660.9496817,611.2769755
660.0894696,610.5423932
659.213182,609.7485075
658.3232459,608.8936448
657.5566074,608.1606515
657.3993504,608.0021358
656.5168483,607.0510504
655.6691025,606.0895904
654.8622956,605.116449
654.2249147,604.3031323
654.0929502,604.129487
653.3594202,603.1338882
652.6650442,602.129405
652.0035038,601.1200712
651.4873765,600.2877338
651.3780592,600.1059434
650.7775575,599.0967706
650.2109538,598.0841606
649.6824452,597.0693338
649.2691115,596.2405763
649.1808094,596.0582437
648.7217213,595.0431634
648.2891022,594.0321055
647.8872233,593.0252189
647.5809689,592.2066785
647.5159979,592.0242607
647.1731289,591.0278392
646.8628719,590.0375061
646.5789439,589.0559862
646.3662257,588.2622826
646.3213872,588.0829677
646.0833145,587.1195613
645.8742184,586.163583
645.6814847,585.2210921
645.5424943,584.4637044
645.512119,584.2896142
645.3695643,583.3684121
645.243541,582.4615227
645.1479557,581.5667906
645.0769501,580.8523073
645.0599948,580.6862623
644.9954995,579.8181799
644.9447385,578.9643905
644.9175712,578.125174
644.9037241,577.457865
644.9017816,577.3012008
644.9032081,576.4940761
644.9146,575.7006594
644.9458581,574.9227631
644.9849838,574.3081541
644.9968632,574.1625762
645.0381354,573.4182303
645.0986554,572.6880561
645.1737137,571.9736777
645.2398042,571.4112674
645.2592757,571.2777396
645.3483512,570.5963887
645.4388846,569.9312833
645.539978,569.2845212
645.6422204,568.7794442
645.6644945,568.6563556
645.7755665,568.0380724
645.901718,567.4406186
646.0259269,566.8582775
646.1313721,566.4051406
646.1580685,566.2934449
646.2950834,565.7448903
646.4478321,565.2176138
646.5871122,564.7139587
646.6946373,564.3357374
646.7212798,564.2432217
646.852327,563.8048576
646.981511,563.4012284
647.1011757,563.028657
647.1941374,562.7561711
647.2196032,562.6899787
647.3286168,562.3829018
647.4328331,562.1088874
647.5337927,561.8682424
647.6016116,561.6979928
647.6186396,561.6568506
647.6943642,561.4773027
647.7615988,561.3296258
647.8128443,561.2110128
647.8461316,561.1391781
647.8537598,561.1234362
647.8826886,561.0667808
647.8970048,561.0390472
647.8962933,561.0403513
647.8858068,561.0624757
647.8804309,561.0717224
647.8462671,561.1293841
647.7916918,561.2132872
647.7202928,561.3250729
647.6503629,561.431361
647.629597,561.4637621
647.5164228,561.6268305
647.383633,561.8168061
647.2255189,562.0285045
647.0954137,562.2199686
647.0541511,562.2734002
646.8479208,562.5296975
646.6164599,562.8084426
646.3602768,563.1095473
646.1413637,563.3569094
646.0719446,563.4256094
645.7597261,563.7641871
645.4136133,564.1163701
645.0423976,564.4898014
644.7296547,564.7851589
644.6374659,564.8742156
644.1992202,565.2722719
643.7309122,565.685519
643.2224375,566.1018066
642.8113907,566.4376198
642.6870247,566.5371513
642.1165124,566.9807418
641.5092968,567.4302685
640.869283,567.8898876
640.3489332,568.2430524
640.1895528,568.3495692
639.4727388,568.8143993
638.7162228,569.2775667
637.9141446,569.7290354
637.2762567,570.0784368
637.0794975,570.185395
636.2025758,570.6341406
635.2913811,571.0886294
634.3373974,571.5302149
633.5811356,571.861279
